,index_gdp,1960_gdp,1961_gdp,1962_gdp,1963_gdp,1964_gdp,1965_gdp,1966_gdp,1967_gdp,1968_gdp,1969_gdp,1970_gdp,1971_gdp,1972_gdp,1973_gdp,1974_gdp,1975_gdp,1976_gdp,1977_gdp,1978_gdp,1979_gdp,1980_gdp,1981_gdp,1982_gdp,1983_gdp,1984_gdp,1985_gdp,1986_gdp,1987_gdp,1988_gdp,1989_gdp,1990_gdp,1991_gdp,1992_gdp,1993_gdp,1994_gdp,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,Country Name,index_life,1960_life,1961_life,1962_life,1963_life,1964_life,1965_life,1966_life,1967_life,1968_life,1969_life,1970_life,1971_life,1972_life,1973_life,1974_life,1975_life,1976_life,1977_life,1978_life,1979_life,1980_life,1981_life,1982_life,1983_life,1984_life,1985_life,1986_life,1987_life,1988_life,1989_life,1990_life,1991_life,1992_life,1993_life,1994_life,1995_life,1996_life,1997_life,1998_life,1999_life,2000_life,2001_life,2002_life,2003_life,2004_life,2005_life,2006_life,2007_life,2008_life,2009_life,2010_life,2011_life,2012_life,2013_life,2014_life,2015_life,2016_life,2017_life,index,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Country Code,Continent_Name,Continent_Code,Country_Name,Two_Letter_Country_Code,Three_Letter_Country_Code,Country_Number
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.303552908057,343.080889714587,333.216684486798,357.23471990802597,365.284494951006,405.54897905179604,412.014286663305,488.300250990155,543.303041863931,528.736648057768,576.190125450699,587.565090150176,583.656192833121,574.1841142712581,571.073774523561,571.542505760778,Afghanistan,0,32.446,32.962,33.471,33.971,34.463,34.948,35.43,35.914,36.403,36.9,37.409,37.93,38.461,39.003,39.558,40.128,40.715,41.32,41.944,42.585,43.244,43.923,44.617,45.324,46.04,46.761,47.486,48.21100000000001,48.93,49.64,50.331,50.999,51.64100000000001,52.256,52.842,53.398,53.924,54.424,54.90600000000001,55.37600000000001,55.841,56.308,56.784,57.271,57.772,58.29,58.826,59.375,59.93,60.484,61.028,61.553,62.054,62.525,62.966,63.377,63.76300000000001,64.13,0,8996973.0,9169410.0,9351441.0,9543205.0,9744781.0,9956320.0,10174836.0,10399926.0,10637063.0,10893776.0,11173642.0,11475445.0,11791215.0,12108963.0,12412950.0,12689160.0,12943093.0,13171306.0,13341198.0,13411056.0,13356511.0,13171673.0,12882528.0,12537730.0,12204292.0,11938208.0,11736179.0,11604534.0,11618005.0,11868877.0,12412308.0,13299017.0,14485546.0,15816603.0,17075727.0,18110657.0,18853437.0,19357126.0,19737765.0,20170844.0,20779953.0,21606988.0,22600770.0,23680871.0,24726684.0,25654277.0,26433049.0,27100536.0,27722276.0,28394813.0,29185507.0,30117413.0,31161376.0,32269589.0,33370794.0,34413603.0,35383128.0,36296400.0,AFG,Asia,AS,"Afghanistan, Islamic Republic of",AF,AFG,4
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1992.29768192397,2064.98962234664,2081.42363723286,2060.25967647249,1992.1166452997306,1986.3276470055607,2058.12654941612,2001.53843445288,1936.23779601242,2070.29549071121,1838.67279181089,1331.80915751123,1243.60941398587,1370.83002730525,1493.79021341744,1703.2867610748401,1869.8712702906696,1676.1319450233402,1835.6519796761106,2085.43201650118,2244.63111056652,2453.63149574573,2572.72885802788,2725.17925500123,2887.37867648403,3062.6827230377003,3263.9111339811493,3485.3324693127697,3775.5922120560704,3928.458969846161,4094.3588163957897,4209.88695219496,4276.6202478014,4327.39248368552,4413.11511327183,4524.68456526035,4683.74389007532,4867.91640496315,Albania,1,62.283,63.301,64.19,64.914,65.46300000000001,65.85,66.11,66.304,66.487,66.689,66.935,67.237,67.582,67.953,68.343,68.736,69.11,69.44800000000001,69.742,69.991,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.80199999999998,71.86,71.992,72.205,72.495,72.83800000000002,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.22800000000002,75.423,75.646,75.91199999999998,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,1,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,ALB,Europe,EU,"Albania, Republic of",AL,ALB,8
2,2,2480.9856297338893,2090.7832866045896,1638.24398564252,2146.27184180058,2214.1925218131,2289.9420152047896,2120.48382503719,2255.82417886113,2428.29276066988,2558.52539978848,2707.62916353113,2335.0639643334807,2894.89634390096,2924.20436278159,3057.88178982087,3123.44687038401,3290.6725885290803,3365.78944313553,3570.4770291276204,3725.2044151645705,3642.5633838960603,3637.7885081688396,3751.6475973685297,3832.62697378747,3924.201192770471,3948.22498144766,3848.90393465265,3713.9476415145,3576.1488614861896,3634.94706067817,3571.187440216401,3442.58420144711,3423.1428058779998,3277.6252147155,3181.5543062261104,3239.9806990019397,3314.20372001397,3296.97208116579,3413.49865779987,3473.1910768027396,3557.204770564821,3616.5370162698796,3771.00957121739,3991.3404924413203,4108.53051025566,4291.19416826902,4299.75655856003,4376.35853281282,4406.9472208847,4402.40920100516,4480.78577696483,4524.348981958789,4586.65166311259,4620.13217862577,4698.66471062642,4776.78754332509,4834.23020306509,4812.15845608835,Algeria,2,46.14100000000001,46.599,47.056,47.50899999999999,47.958,48.394,48.81100000000001,49.21,49.597,49.982,50.372,50.773,51.201,51.676,52.218,52.86600000000001,53.661,54.609,55.7,56.909,58.198,59.519,60.813,62.029,63.13,64.087,64.884,65.545,66.097,66.554,66.938,67.27,67.575,67.877,68.194,68.54,68.919,69.32300000000001,69.745,70.183,70.64,71.116,71.605,72.101,72.594,73.072,73.521,73.936,74.311,74.64399999999998,74.938,75.199,75.436,75.661,75.878,76.09,76.298,76.499,2,11057863.0,11336339.0,11619828.0,11912803.0,12221675.0,12550885.0,12902627.0,13275026.0,13663583.0,14061722.0,14464985.0,14872250.0,15285990.0,15709825.0,16149025.0,16607707.0,17085801.0,17582904.0,18102266.0,18647815.0,19221665.0,19824301.0,20452902.0,21101875.0,21763575.0,22431502.0,23102389.0,23774284.0,24443467.0,25106190.0,25758869.0,26400479.0,27028326.0,27635515.0,28213774.0,28757785.0,29266405.0,29742979.0,30192754.0,30623406.0,31042235.0,31451514.0,31855109.0,32264157.0,32692163.0,33149724.0,33641002.0,34166972.0,34730608.0,35333881.0,35977455.0,36661444.0,37383887.0,38140132.0,38923687.0,39728025.0,40551404.0,41389198.0,DZA,Africa,AF,"Algeria, People's Democratic Republic of",DZ,DZA,12
3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3179.5384579188,2934.39772408758,2831.97215191659,2847.5017560613396,2912.66515023621,2909.52891499335,2890.0150065279604,2904.12954083143,2976.63600395655,2877.3382969972,2685.77857401363,2623.7139979091103,2390.80776712105,1759.35310834534,1726.3156873238001,1922.4161932812601,2113.75076631864,2195.71885948871,2225.68435703379,2201.52946001159,2195.63058208212,2213.6811619869395,2433.80439286308,2423.29399490108,2597.45699523307,2883.9782114255604,3102.6509280005603,3409.5034617561896,3652.1534982018798,3549.5778566281,3587.88379824396,3579.9600813381708,3748.449444816311,3796.8826219485695,3843.19824098164,3748.3206230175897,3530.30942264945,3409.92928463039,Angola,3,37.524,37.811,38.113,38.43,38.76,39.102,39.454,39.813,40.178,40.546,40.914,41.282,41.65,42.01600000000001,42.374,42.721,43.053,43.367,43.66,43.931,44.178,44.404,44.611,44.799,44.966,45.107,45.213,45.283,45.317,45.324,45.306,45.271,45.23,45.201,45.201,45.246,45.35,45.519,45.76300000000001,46.093,46.522,47.059,47.702,48.44,49.26300000000001,50.165,51.143,52.177,53.243,54.31100000000001,55.35,56.33,57.236,58.054,58.776,59.398,59.925,60.379,3,5454933.0,5531472.0,5608539.0,5679458.0,5735044.0,5770570.0,5781214.0,5774243.0,5771652.0,5803254.0,5890365.0,6040777.0,6248552.0,6496962.0,6761380.0,7024000.0,7279509.0,7533735.0,7790707.0,8058067.0,8341289.0,8640446.0,8952950.0,9278096.0,9614754.0,9961997.0,10320111.0,10689250.0,11068050.0,11454777.0,11848386.0,12248901.0,12657366.0,13075049.0,13503747.0,13945206.0,14400719.0,14871570.0,15359601.0,15866869.0,16395473.0,16945753.0,17519417.0,18121479.0,18758145.0,19433602.0,20149901.0,20905363.0,21695634.0,22514281.0,23356246.0,24220661.0,25107931.0,26015780.0,26941779.0,27884381.0,28842484.0,29816748.0,AGO,Africa,AF,"Angola, Republic of",AO,AGO,24
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5193.18031561836,5431.578004441911,5878.3953307720885,6367.0978961189685,6616.94960561146,6613.637909137421,6967.49227546542,7675.8617893535,8262.58882135533,9217.05027962495,9833.69790250682,10337.3106613014,10838.6693244457,11072.239781728702,11163.4770113276,11099.4090679873,11453.451292829799,11958.6685601452,11193.161508507701,11676.874363728999,12052.7701544948,12360.992984401499,12570.403301390601,13174.811844477901,12328.1564066864,12282.1360274371,12861.0907512852,13423.493386421398,14086.300689260801,15641.386895746698,16820.8127651083,16545.776949121202,14316.3385683291,13092.073818263201,12643.9198441354,12919.9541600759,12750.414275188,13193.546601760401,13577.4128026007,14190.6057596111,14483.208237168301,Antigua and Barbuda,4,61.968,62.523,63.049,63.54,63.992,64.40100000000001,64.762,65.081,65.363,65.616,65.847,66.066,66.28,66.498,66.727,66.975,67.244,67.533,67.837,68.154,68.482,68.818,69.156,69.491,69.82,70.137,70.44,70.72800000000002,71.00399999999998,71.267,71.52,71.765,72.006,72.247,72.48899999999998,72.732,72.977,73.222,73.465,73.705,73.94,74.171,74.395,74.613,74.821,75.01899999999998,75.204,75.376,75.535,75.683,75.82300000000002,75.956,76.087,76.218,76.34899999999998,76.483,76.617,76.752,4,54131.0,55001.0,55841.0,56702.0,57641.0,58698.0,59915.0,61241.0,62521.0,63550.0,64177.0,64357.0,64133.0,63650.0,63120.0,62675.0,62367.0,62159.0,62036.0,61952.0,61865.0,61800.0,61779.0,61787.0,61786.0,61786.0,61754.0,61717.0,61771.0,62008.0,62528.0,63367.0,64471.0,65777.0,67204.0,68670.0,70173.0,71704.0,73224.0,74674.0,76016.0,77212.0,78295.0,79300.0,80336.0,81465.0,82704.0,84026.0,85397.0,86746.0,88028.0,89253.0,90409.0,91516.0,92562.0,93566.0,94527.0,95426.0,ATG,North America,,Antigua and Barbuda,AG,ATG,28
5,5,5642.76513813328,5853.171905501279,5711.17933827409,5323.49430875299,5772.6499667528515,6286.2293465149205,6151.92602594926,6255.18402161641,6460.78745199298,6980.899177978871,7084.181478481509,7368.0775801052505,7368.50576960672,7453.7535568433095,7740.855928490791,7617.94315128736,7350.828566649799,7743.58231487359,7285.43955621042,7910.36662234598,7908.02261816432,7380.674983561371,7210.34702077923,7403.72720995174,7399.8891193358595,6904.6450440420385,7214.27070267463,7294.064255990891,7104.1812008053785,6497.42554534223,6245.70857662189,6721.27823910953,7157.32831119985,7644.2356920043285,7988.644613610921,7666.53000424516,7994.24337081722,8543.02853403286,8772.06320960578,8381.253998294978,8224.112826513629,7776.137872066851,6854.29408086406,7380.4670873289015,7962.412309168158,8577.86499429459,9174.502458316607,9901.51188115634,10201.4759370923,9502.24358504659,10385.964431955501,10883.315359489001,10649.8372874572,10784.6306992057,10398.6940069464,10568.1578087083,10239.4813479933,10404.2635134208,Argentina,5,65.055,65.176,65.26899999999999,65.348,65.426,65.518,65.64,65.796,65.98899999999999,66.219,66.483,66.774,67.078,67.383,67.686,67.985,68.283,68.585,68.891,69.197,69.49600000000001,69.777,70.033,70.262,70.46600000000002,70.65,70.825,71.001,71.186,71.384,71.594,71.813,72.032,72.24600000000002,72.453,72.65100000000002,72.843,73.029,73.21300000000002,73.396,73.57600000000002,73.755,73.932,74.107,74.28,74.45100000000002,74.62,74.78699999999998,74.952,75.116,75.278,75.439,75.598,75.756,75.913,76.068,76.221,76.372,5,20481779.0,20817266.0,21153052.0,21488912.0,21824425.0,22159650.0,22494035.0,22828869.0,23168267.0,23517611.0,23880561.0,24259561.0,24653175.0,25056478.0,25462302.0,25865776.0,26264681.0,26661398.0,27061047.0,27471036.0,27896528.0,28338515.0,28794548.0,29262047.0,29737093.0,30216279.0,30698964.0,31184415.0,31668949.0,32148134.0,32618651.0,33079000.0,33529326.0,33970111.0,34402672.0,34828170.0,35246374.0,35657429.0,36063459.0,36467218.0,36870787.0,37275652.0,37681749.0,38087868.0,38491972.0,38892931.0,39289878.0,39684295.0,40080160.0,40482788.0,40788453.0,41261490.0,41733271.0,42202935.0,42669500.0,43131966.0,43590368.0,44044811.0,ARG,South America,SA,"Argentina, Argentine Republic",AR,ARG,32
6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796.93338443952,1601.59062416544,949.031291670401,886.030151341586,956.468846570432,1043.54119486628,1121.87950406801,1172.13568009922,1267.57405942099,1317.7397905031598,1404.3200896038,1548.05961278644,1761.84123383193,2019.90053213589,2244.1393981339,2571.97712834302,2934.02488180947,3366.66493916206,3629.9090914267604,3137.34609782582,3218.37270660563,3370.551103362089,3603.59584827024,3705.35739647445,3819.2177873036,3923.7165022155,3917.3796757227,4198.7947487701285,Armenia,6,65.972,66.403,66.83800000000001,67.277,67.71600000000001,68.153,68.58800000000001,69.016,69.42699999999999,69.809,70.14399999999999,70.41199999999998,70.605,70.723,70.775,70.783,70.783,70.798,70.83800000000002,70.89699999999998,70.937,70.91,70.77600000000002,70.51899999999998,70.15,69.69800000000001,69.205,68.732,68.332,68.038,67.87899999999999,67.87,67.99,68.218,68.538,68.938,69.404,69.91199999999999,70.434,70.944,71.40899999999998,71.8,72.112,72.348,72.513,72.626,72.71600000000002,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,6,1874121.0,1941492.0,2009526.0,2077578.0,2145001.0,2211319.0,2276034.0,2339127.0,2401143.0,2462928.0,2525068.0,2587708.0,2650486.0,2712786.0,2773748.0,2832759.0,2889579.0,2944383.0,2997417.0,3049109.0,3099754.0,3148096.0,3193689.0,3238595.0,3285599.0,3335940.0,3392264.0,3451947.0,3504659.0,3536474.0,3538171.0,3505258.0,3442817.0,3363108.0,3283667.0,3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884229.0,2897584.0,2912403.0,2925553.0,2936146.0,2944809.0,ARM,Europe,EU,"Armenia, Republic of",AM,ARM,51
7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1796.93338443952,1601.59062416544,949.031291670401,886.030151341586,956.468846570432,1043.54119486628,1121.87950406801,1172.13568009922,1267.57405942099,1317.7397905031598,1404.3200896038,1548.05961278644,1761.84123383193,2019.90053213589,2244.1393981339,2571.97712834302,2934.02488180947,3366.66493916206,3629.9090914267604,3137.34609782582,3218.37270660563,3370.551103362089,3603.59584827024,3705.35739647445,3819.2177873036,3923.7165022155,3917.3796757227,4198.7947487701285,Armenia,6,65.972,66.403,66.83800000000001,67.277,67.71600000000001,68.153,68.58800000000001,69.016,69.42699999999999,69.809,70.14399999999999,70.41199999999998,70.605,70.723,70.775,70.783,70.783,70.798,70.83800000000002,70.89699999999998,70.937,70.91,70.77600000000002,70.51899999999998,70.15,69.69800000000001,69.205,68.732,68.332,68.038,67.87899999999999,67.87,67.99,68.218,68.538,68.938,69.404,69.91199999999999,70.434,70.944,71.40899999999998,71.8,72.112,72.348,72.513,72.626,72.71600000000002,72.815,72.946,73.118,73.331,73.572,73.82,74.056,74.273,74.467,74.64,74.797,6,1874121.0,1941492.0,2009526.0,2077578.0,2145001.0,2211319.0,2276034.0,2339127.0,2401143.0,2462928.0,2525068.0,2587708.0,2650486.0,2712786.0,2773748.0,2832759.0,2889579.0,2944383.0,2997417.0,3049109.0,3099754.0,3148096.0,3193689.0,3238595.0,3285599.0,3335940.0,3392264.0,3451947.0,3504659.0,3536474.0,3538171.0,3505258.0,3442817.0,3363108.0,3283667.0,3217348.0,3168221.0,3133089.0,3108687.0,3089022.0,3069591.0,3050687.0,3033978.0,3017932.0,3000720.0,2981269.0,2958307.0,2932618.0,2907618.0,2888092.0,2877319.0,2876538.0,2884229.0,2897584.0,2912403.0,2925553.0,2936146.0,2944809.0,ARM,Asia,AS,"Armenia, Republic of",AM,ARM,51
8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15669.616039826298,18427.6115299095,22134.017271251494,24837.9509579621,25357.7869437251,26329.313141211802,26401.968740042,26663.2077602359,27272.3100411519,26705.180996415802,26087.775812211094,27190.5011823334,27151.9241038764,26954.4045087697,28417.3842120132,26966.0547913068,25508.3025249991,25469.287413269903,27005.5295318108,26979.885362725097,27046.2239557508,27427.5782618678,27365.9309649898,24463.692248689502,23512.602595639702,24233.001081502203,23781.2572983852,24635.764947531006,24697.4940275196,24452.606574011006,24277.4067939156,24485.0832823881,Aruba,7,65.66199999999999,66.074,66.444,66.78699999999999,67.113,67.435,67.762,68.095,68.436,68.78399999999999,69.14,69.498,69.851,70.191,70.51899999999998,70.833,71.14,71.441,71.736,72.023,72.293,72.538,72.751,72.929,73.071,73.181,73.262,73.325,73.378,73.425,73.468,73.509,73.544,73.57300000000002,73.598,73.622,73.646,73.671,73.7,73.738,73.78699999999998,73.85300000000002,73.937,74.038,74.156,74.28699999999998,74.429,74.57600000000002,74.725,74.872,75.017,75.158,75.29899999999998,75.441,75.583,75.725,75.868,76.01,7,54211.0,55438.0,56225.0,56695.0,57032.0,57360.0,57715.0,58055.0,58386.0,58726.0,59063.0,59440.0,59840.0,60243.0,60528.0,60657.0,60586.0,60366.0,60103.0,59980.0,60096.0,60567.0,61345.0,62201.0,62836.0,63026.0,62644.0,61833.0,61079.0,61032.0,62149.0,64622.0,68235.0,72504.0,76700.0,80324.0,83200.0,85451.0,87277.0,89005.0,90853.0,92898.0,94992.0,97017.0,98737.0,100031.0,100834.0,101222.0,101358.0,101455.0,101669.0,102046.0,102560.0,103159.0,103774.0,104341.0,104872.0,105366.0,ABW,North America,,Aruba,AW,ABW,533
9,8,19378.143669163,19468.6492030629,19245.4102716598,20053.2203442173,21035.760486356103,21861.7351990407,21877.3491545256,22964.5063051246,23712.680231669503,24857.369990757797,26120.400891573598,26263.252082811294,26793.7736665418,27076.901411922998,27483.455372105098,27513.6105568432,27943.989421039703,28624.9188971529,28547.7618474547,29382.8024855367,29907.5348490016,30419.2473749862,30912.0015044057,29849.9142173263,30865.987926380298,32045.063582963197,32796.674130602994,33127.0984263148,34459.4367792103,35192.1969630978,35912.733831492995,35317.4732486383,35035.726724950895,36092.6238871964,37134.2440488847,38095.1011243144,39056.1759955883,40153.5996467269,41555.91031093391,43168.2892225283,44334.3918715078,44585.1684885506,45806.687447578304,46595.9025319996,47926.72786603151,48813.8848751425,49443.1965891288,51024.206829412804,51841.2537218758,51767.350236148304,52022.125596187594,52567.745678745196,53673.0979172316,54137.189288777314,54705.7270373791,55183.737825252196,55875.0964226885,56228.806515655495,Australia,8,70.8170731707317,70.9731707317073,70.9424390243903,70.91170731707321,70.88097560975609,70.850243902439,70.819512195122,70.8692682926829,70.9190243902439,70.9687804878049,71.01853658536591,71.0682926829268,71.4575609756098,71.84682926829271,72.2360975609756,72.6253658536586,73.01463414634149,73.34439024390241,73.6741463414634,74.00390243902442,74.3336585365854,74.66341463414629,74.9048780487805,75.14634146341459,75.3878048780488,75.62926829268291,75.87073170731709,76.1517073170732,76.4326829268293,76.71365853658541,76.9946341463415,77.2756097560976,77.37804878048779,77.87804878048779,77.87804878048779,77.82926829268291,78.07804878048779,78.4804878048781,78.63170731707321,78.9317073170732,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.84146341463409,81.0414634146342,81.2926829268293,81.39512195121951,81.54390243902441,81.6951219512195,81.89512195121951,82.04634146341459,82.14878048780491,82.3,82.4,82.44878048780491,82.4975609756098,8,10276477.0,10483000.0,10742000.0,10950000.0,11167000.0,11388000.0,11651000.0,11799000.0,12009000.0,12263000.0,12507000.0,12937000.0,13177000.0,13380000.0,13723000.0,13893000.0,14033000.0,14192000.0,14358000.0,14514000.0,14692000.0,14927000.0,15178000.0,15369000.0,15544000.0,15758000.0,16018400.0,16263900.0,16532200.0,16814400.0,17065100.0,17284000.0,17495000.0,17667000.0,17855000.0,18072000.0,18311000.0,18517000.0,18711000.0,18926000.0,19153000.0,19413000.0,19651400.0,19895400.0,20127400.0,20394800.0,20697900.0,20827600.0,21249200.0,21691700.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24601860.0,AUS,Oceania,OC,"Australia, Commonwealth of",AU,AUS,36
