,index,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Unnamed: 64
0,67732,Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.303552908057,343.080889714587,333.216684486798,357.23471990802597,365.284494951006,405.54897905179604,412.014286663305,488.300250990155,543.303041863931,528.736648057768,576.190125450699,587.565090150176,583.656192833121,574.1841142712581,571.073774523561,571.542505760778,
1,69163,Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,1992.29768192397,2064.98962234664,2081.42363723286,2060.25967647249,1992.1166452997302,1986.3276470055603,2058.12654941612,2001.53843445288,1936.23779601242,2070.29549071121,1838.67279181089,1331.80915751123,1243.6094139858699,1370.83002730525,1493.79021341744,1703.2867610748401,1869.8712702906698,1676.1319450233402,1835.6519796761102,2085.43201650118,2244.63111056652,2453.63149574573,2572.72885802788,2725.17925500123,2887.37867648403,3062.6827230377003,3263.9111339811498,3485.3324693127697,3775.5922120560704,3928.4589698461605,4094.3588163957897,4209.88695219496,4276.6202478014,4327.39248368552,4413.11511327183,4524.68456526035,4683.74389007532,4867.91640496315,
2,70594,Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2480.9856297338897,2090.7832866045896,1638.2439856425199,2146.27184180058,2214.1925218131,2289.9420152047896,2120.48382503719,2255.82417886113,2428.29276066988,2558.52539978848,2707.62916353113,2335.0639643334803,2894.89634390096,2924.20436278159,3057.88178982087,3123.44687038401,3290.6725885290803,3365.78944313553,3570.4770291276204,3725.2044151645705,3642.5633838960603,3637.7885081688396,3751.6475973685297,3832.62697378747,3924.2011927704707,3948.22498144766,3848.90393465265,3713.9476415145,3576.1488614861896,3634.94706067817,3571.1874402164003,3442.58420144711,3423.1428058779998,3277.6252147155,3181.5543062261104,3239.9806990019397,3314.20372001397,3296.97208116579,3413.49865779987,3473.1910768027396,3557.2047705648206,3616.5370162698796,3771.00957121739,3991.3404924413203,4108.53051025566,4291.19416826902,4299.75655856003,4376.35853281282,4406.9472208847,4402.40920100516,4480.78577696483,4524.348981958789,4586.65166311259,4620.13217862577,4698.66471062642,4776.78754332509,4834.23020306509,4812.15845608835,
5,74887,Angola,AGO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,3179.5384579188,2934.39772408758,2831.97215191659,2847.5017560613396,2912.66515023621,2909.52891499335,2890.0150065279604,2904.12954083143,2976.63600395655,2877.3382969972,2685.77857401363,2623.7139979091103,2390.80776712105,1759.35310834534,1726.3156873238001,1922.4161932812601,2113.7507663186398,2195.71885948871,2225.68435703379,2201.52946001159,2195.63058208212,2213.6811619869395,2433.80439286308,2423.29399490108,2597.45699523307,2883.9782114255604,3102.6509280005603,3409.5034617561896,3652.1534982018798,3549.5778566281,3587.88379824396,3579.9600813381703,3748.4494448163105,3796.8826219485704,3843.19824098164,3748.3206230175897,3530.30942264945,3409.92928463039,
6,76318,Antigua and Barbuda,ATG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,5193.18031561836,5431.578004441911,5878.395330772089,6367.097896118969,6616.94960561146,6613.637909137421,6967.49227546542,7675.8617893535,8262.58882135533,9217.05027962495,9833.69790250682,10337.3106613014,10838.6693244457,11072.239781728702,11163.4770113276,11099.4090679873,11453.451292829799,11958.6685601452,11193.161508507701,11676.874363728999,12052.7701544948,12360.992984401499,12570.403301390601,13174.811844477901,12328.1564066864,12282.1360274371,12861.0907512852,13423.493386421398,14086.300689260801,15641.386895746698,16820.8127651083,16545.776949121202,14316.3385683291,13092.073818263201,12643.9198441354,12919.9541600759,12750.414275188,13193.546601760401,13577.4128026007,14190.6057596111,14483.208237168301,
7,77749,Argentina,ARG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,5642.76513813328,5853.171905501279,5711.17933827409,5323.49430875299,5772.649966752851,6286.2293465149205,6151.92602594926,6255.18402161641,6460.78745199298,6980.899177978871,7084.181478481509,7368.0775801052505,7368.50576960672,7453.7535568433095,7740.855928490791,7617.94315128736,7350.8285666497995,7743.58231487359,7285.43955621042,7910.36662234598,7908.02261816432,7380.674983561371,7210.34702077923,7403.72720995174,7399.8891193358595,6904.645044042039,7214.27070267463,7294.064255990891,7104.181200805379,6497.42554534223,6245.70857662189,6721.27823910953,7157.32831119985,7644.235692004329,7988.644613610921,7666.53000424516,7994.24337081722,8543.02853403286,8772.06320960578,8381.253998294978,8224.112826513629,7776.137872066851,6854.29408086406,7380.467087328901,7962.4123091681595,8577.86499429459,9174.502458316609,9901.51188115634,10201.4759370923,9502.24358504659,10385.964431955501,10883.315359489001,10649.8372874572,10784.6306992057,10398.6940069464,10568.1578087083,10239.4813479933,10404.2635134208,
8,79180,Armenia,ARM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.93338443952,1601.59062416544,949.031291670401,886.030151341586,956.468846570432,1043.54119486628,1121.87950406801,1172.13568009922,1267.57405942099,1317.7397905031598,1404.3200896038,1548.05961278644,1761.84123383193,2019.90053213589,2244.1393981339,2571.97712834302,2934.02488180947,3366.66493916206,3629.9090914267604,3137.34609782582,3218.37270660563,3370.5511033620896,3603.59584827024,3705.35739647445,3819.2177873036,3923.7165022155,3917.3796757227,4198.794748770129,
9,80611,Aruba,ABW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,15669.616039826298,18427.6115299095,22134.017271251498,24837.9509579621,25357.7869437251,26329.313141211802,26401.968740042,26663.2077602359,27272.3100411519,26705.180996415802,26087.775812211097,27190.5011823334,27151.9241038764,26954.4045087697,28417.3842120132,26966.0547913068,25508.3025249991,25469.287413269903,27005.5295318108,26979.885362725097,27046.2239557508,27427.5782618678,27365.9309649898,24463.692248689502,23512.602595639702,24233.001081502203,23781.2572983852,24635.764947531003,24697.4940275196,24452.606574011003,24277.4067939156,24485.0832823881,
10,82042,Australia,AUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,19378.143669163,19468.6492030629,19245.4102716598,20053.2203442173,21035.760486356103,21861.7351990407,21877.3491545256,22964.5063051246,23712.680231669503,24857.369990757797,26120.400891573598,26263.252082811297,26793.7736665418,27076.901411922998,27483.455372105098,27513.6105568432,27943.989421039703,28624.9188971529,28547.7618474547,29382.8024855367,29907.5348490016,30419.2473749862,30912.0015044057,29849.9142173263,30865.987926380298,32045.063582963197,32796.674130602994,33127.0984263148,34459.4367792103,35192.1969630978,35912.733831492995,35317.4732486383,35035.726724950895,36092.6238871964,37134.2440488847,38095.1011243144,39056.1759955883,40153.5996467269,41555.910310933905,43168.2892225283,44334.3918715078,44585.1684885506,45806.687447578304,46595.9025319996,47926.727866031506,48813.8848751425,49443.1965891288,51024.206829412804,51841.2537218758,51767.350236148304,52022.125596187594,52567.745678745196,53673.0979172316,54137.18928877731,54705.7270373791,55183.737825252196,55875.0964226885,56228.806515655495,
11,83473,Austria,AUT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,13031.0315898249,13677.4642130876,13953.9500033393,14438.3566555943,15220.8197176825,15648.5266978249,16416.0054041203,16783.8896871799,17443.704979075,18474.5400142328,19573.8668769248,20483.4532861498,21628.966124242,22561.3704985125,23410.890274262598,23387.706378730098,24501.7493304065,25736.5512059217,25703.1373788812,27126.178179345698,27595.8347588735,27485.8321468879,28018.5408766777,28898.2188508896,28914.856590799103,29623.4341327814,30285.933189660496,30677.543994885098,31643.808960398397,32726.0594259348,33888.9955929164,34707.071226920096,35045.844292339105,34941.143401042005,35643.0276843652,36537.993038823704,37346.0074348842,38084.7013777733,39405.4160313155,40727.484942525094,42001.2111626726,42370.9315990366,42859.3293954947,43052.6030729033,43956.5826590614,44637.856412451394,45951.7346927938,47510.2937863859,48053.4830761375,46123.490688904596,46858.0432733717,48065.3167058917,48172.2377048248,47901.3654287376,47842.7490656578,47850.1676260394,48300.948596433496,49190.173413860095,
